"va","151"
"thank","151"
"critical","151"
"como","151"
"depth","150"
"maybe","150"
"teamriley","150"
"wtf","150"
"nobody","149"
"pace","148"
"stay","148"
"old","148"
"reason","147"
"started","147"
"impressive","146"
"hear","146"
"sport","146"
"money","146"
"years","145"
"behind","145"
"ni","145"
"trending","145"
"things","145"
"arena","144"
"definitely","144"
"seeing","143"
"sundaygame","143"
"20","143"
"straight","143"
"room","143"
"music","142"
"amralear","142"
"putting","142"
"pa","142"
"tuesday","141"
"pussykathryn","141"
"nationalanthem","141"
"acting","141"
"cooking","140"
"small","140"
"throw","140"
"san","140"
"bulls","140"
"guard","140"
"thanks","139"
"basket","139"
"fault","139"
"lineup","139"
"excited","139"
"itson","139"
"jrsmith","139"
"50","139"
"singing","139"
"went","139"
"without","138"
"missed","138"
"banner","138"
"wo","138"
"blaroda","138"
"waiting","138"
"ha","137"
"respect","137"
"post","137"
"ridiculous","137"
"girl","137"
"times","136"
"bitch","136"
"interesting","136"
"et","136"
"matter","136"
"true","136"
"bighugh53","136"
"feeling","135"
"mad","135"
"aliincle","135"
"clevelandcavaliers","135"
"backcourt","135"
"dat","135"
"headband","134"
"puntos","134"
"seems","134"
"move","134"
"3rd","134"
"gone","133"
"set","133"
"dunk","132"
"brothers","132"
"este","132"
"playoffs","131"
"anything","131"
"terrible","131"
"bleeding","131"
"squad","130"
"oitnb","130"
"carry","130"
"ng","130"
"mike","130"
"dick","130"
"song","130"
"nbaonespn","130"
"ahora","129"
"shut","129"
"intense","129"
"wonder","128"
"himno","128"
"barbosa","128"
"robertmarawa","128"
"jogo","128"
"whoever","127"
"letsgocavs","127"
"marlins","127"
"remember","127"
"break","127"
"everybody","127"
"crowd","126"
"allin","126"
"video","126"
"exciting","126"
"difference","126"
"viendo","126"
"tie","126"
"beast","125"
"vine","125"
"mouth","124"
"seriously","124"
"giving","124"
"qtr","124"
"days","123"
"9","123"
"mejor","123"
"watched","122"
"huge","122"
"hahaha","122"
"padilla","122"
"somebody","122"
"axe","122"
"tristan","122"
"laureenmuy","122"
"15","122"
"ugly","121"
"news","121"
"il","121"
